Time,Type,total_car,total_walking,total_train,total_tram,total_bus
2022-02-08 10:32:12.999,car,1,0,0,0,0
2022-02-08 12:36:47.045,car,2,0,0,0,0
2022-02-09 02:16:03.180,car,3,0,0,0,0
2022-02-09 02:42:40.750,car,4,0,0,0,0
2022-02-09 10:35:49.888,car,5,0,0,0,0
2022-02-10 01:10:56.129,walking,5,1,0,0,0
2022-02-10 01:52:11.262,walking,5,2,0,0,0
2022-02-10 22:24:15.518,walking,5,3,0,0,0
2022-02-12 03:14:30.990,walking,5,4,0,0,0
2022-02-13 07:19:49.789,train,5,4,1,0,0
2022-02-13 09:34:57.779,train,5,4,2,0,0
2022-02-13 10:55:58.337,walking,5,5,2,0,0
2022-02-14 00:44:10.198,walking,5,6,2,0,0
2022-02-15 00:45:41.522,walking,5,7,2,0,0
2022-02-16 07:00:11.188,walking,5,8,2,0,0
2022-02-16 11:43:16.595,walking,5,9,2,0,0
2022-02-16 23:48:59.186,tram,5,9,2,1,0
2022-02-18 03:56:08.853,walking,5,10,2,1,0
2022-02-19 01:02:22.497,walking,5,11,2,1,0
2022-02-19 06:29:19.417,walking,5,12,2,1,0
2022-02-20 01:00:03,walking,5,13,2,1,0
2022-02-20 01:51:16.371,walking,5,14,2,1,0
2022-02-20 02:31:40.058,walking,5,15,2,1,0
2022-02-20 09:55:16.556,walking,5,16,2,1,0
2022-02-21 22:52:52.319,walking,5,17,2,1,0
2022-02-22 07:43:49.288,walking,5,18,2,1,0
2022-02-23 21:21:19.673,walking,5,19,2,1,0
2022-02-23 21:40:23.010,walking,5,20,2,1,0
2022-02-23 22:02:43.619,train,5,20,3,1,0
2022-02-24 00:15:28.407,car,6,20,3,1,0
2022-02-24 00:42:28.571,train,6,20,4,1,0
2022-02-24 01:40:40.517,walking,6,21,4,1,0
2022-02-25 00:43:18.370,tram,6,21,4,2,0
2022-02-26 09:22:38.320,walking,6,22,4,2,0
2022-02-26 10:03:15.410,walking,6,23,4,2,0
2022-02-26 10:14:31.831,walking,6,24,4,2,0
2022-02-26 10:54:45.538,walking,6,25,4,2,0
2022-02-26 11:14:50.143,walking,6,26,4,2,0
2022-02-26 11:59:47.830,walking,6,27,4,2,0
2022-02-26 12:39:23.507,walking,6,28,4,2,0
2022-02-26 15:01:13.058,walking,6,29,4,2,0
2022-02-27 04:32:29.917,walking,6,30,4,2,0
2022-02-27 08:29:47.860,tram,6,30,4,3,0
2022-02-27 08:53:09.318,tram,6,30,4,4,0
2022-02-28 01:17:47.310,walking,6,31,4,4,0
2022-02-28 02:39:40.989,walking,6,32,4,4,0
2022-02-28 05:49:48.225,walking,6,33,4,4,0
2022-02-28 09:27:16.013,walking,6,34,4,4,0
2022-02-28 10:38:29.605,walking,6,35,4,4,0
2022-03-01 09:54:08.533,walking,6,36,4,4,0
2022-03-02 01:59:26.426,walking,6,37,4,4,0
2022-03-02 22:41:10.999,train,6,37,5,4,0
2022-03-02 23:31:36.563,walking,6,38,5,4,0
2022-03-03 00:22:07.164,train,6,38,6,4,0
2022-03-03 01:09:59.324,walking,6,39,6,4,0
2022-03-03 06:25:48.301,tram,6,39,6,5,0
2022-03-03 11:31:48.405,walking,6,40,6,5,0
2022-03-04 00:52:27.890,tram,6,40,6,6,0
2022-03-04 09:26:31.036,walking,6,41,6,6,0
2022-03-04 09:41:20.424,tram,6,41,6,7,0
2022-03-04 23:27:14.899,tram,6,41,6,8,0
2022-03-05 03:21:56.224,car,7,41,6,8,0
2022-03-05 04:00:43.999,car,8,41,6,8,0
2022-03-05 09:18:43.601,walking,8,42,6,8,0
2022-03-05 22:55:48.561,walking,8,43,6,8,0
2022-03-05 23:11:49.920,walking,8,44,6,8,0
2022-03-06 02:05:50.538,tram,8,44,6,9,0
2022-03-12 22:40:56.856,walking,8,45,6,9,0
2022-03-12 23:13:04.166,walking,8,46,6,9,0
2022-03-13 02:43:54.661,walking,8,47,6,9,0
2022-03-14 23:05:00.764,tram,8,47,6,10,0
2022-03-15 03:58:35.999,bus,8,47,6,10,1
2022-03-15 04:54:08.947,bus,8,47,6,10,2
2022-03-15 08:22:33.155,walking,8,48,6,10,2
2022-03-16 05:25:09.562,tram,8,48,6,11,2
2022-03-16 22:48:48.457,walking,8,49,6,11,2
2022-03-19 00:24:53.999,car,9,49,6,11,2
2022-03-19 01:02:42.856,car,10,49,6,11,2
2022-03-19 01:55:35,car,11,49,6,11,2
2022-03-19 03:57:18.306,walking,11,50,6,11,2
2022-03-20 07:49:02,car,12,50,6,11,2
2022-03-20 08:36:50.965,car,13,50,6,11,2
2022-03-21 02:50:00.021,walking,13,51,6,11,2
2022-03-21 03:46:51.999,walking,13,52,6,11,2
2022-03-21 09:52:48,car,14,52,6,11,2
2022-03-21 10:40:54,car,15,52,6,11,2
2022-03-22 04:23:15.999,car,16,52,6,11,2
2022-03-22 05:38:05.197,car,17,52,6,11,2
2022-03-23 08:05:01.398,walking,17,53,6,11,2
2022-03-27 02:48:03.999,car,18,53,6,11,2
2022-03-27 03:17:38,car,19,53,6,11,2
2022-03-27 04:06:34.009,car,20,53,6,11,2
2022-03-27 08:17:12.145,walking,20,54,6,11,2
2022-03-27 10:46:59.827,tram,20,54,6,12,2
2022-03-29 06:23:22.781,walking,20,55,6,12,2
2022-03-29 06:40:08.878,walking,20,56,6,12,2
2022-03-29 20:45:04.557,car,21,56,6,12,2
2022-03-29 21:39:21.999,car,22,56,6,12,2
2022-03-29 22:24:50,car,23,56,6,12,2
2022-03-30 00:47:16.789,car,24,56,6,12,2
2022-03-30 04:46:35.999,car,25,56,6,12,2
2022-03-30 06:26:34.999,car,26,56,6,12,2
2022-03-30 08:19:49.260,car,27,56,6,12,2
2022-03-30 10:23:26,car,28,56,6,12,2
2022-03-30 21:34:55.250,car,29,56,6,12,2
2022-03-31 22:24:03.999,car,30,56,6,12,2
2022-04-01 00:24:06.790,car,31,56,6,12,2
2022-04-01 01:37:18.306,car,32,56,6,12,2
2022-04-01 02:28:47.938,car,33,56,6,12,2
2022-04-01 05:12:21.138,car,34,56,6,12,2
2022-04-01 06:56:11.999,car,35,56,6,12,2
2022-04-01 21:24:04.999,car,36,56,6,12,2
2022-04-01 22:07:03.089,car,37,56,6,12,2
2022-04-02 22:00:38.999,car,38,56,6,12,2
2022-04-02 23:17:03.642,car,39,56,6,12,2
2022-04-04 04:53:56.189,walking,39,57,6,12,2
2022-04-06 13:02:44.377,walking,39,58,6,12,2
2022-04-06 22:06:45.041,tram,39,58,6,13,2
2022-04-08 03:52:52,car,40,58,6,13,2
2022-04-08 04:25:57.776,walking,40,59,6,13,2
2022-04-08 04:36:59.723,train,40,59,7,13,2
2022-04-11 10:54:36.568,tram,40,59,7,14,2
2022-04-12 07:13:00.676,walking,40,60,7,14,2
2022-04-13 10:15:39.250,walking,40,61,7,14,2
2022-04-14 01:23:41.762,walking,40,62,7,14,2
2022-04-14 05:42:17.598,train,40,62,8,14,2
2022-04-14 06:11:41.553,walking,40,63,8,14,2
